#query	mnx_id	reference	xrefs	name
acald				
akg				
co2				
etoh				
for				
fru				
fum				
glc				
gln__L				
glu__L				
h				
h2o				
lac__D				
mal__L				
nh4				
o2				
pi				
pyr				
succ				
FBA	MNXR153517	biggR:FBA	bigg.reaction:FBA ... bigg.reaction:FBA_h ... bigg.reaction:FBAg ... bigg.reaction:R_FBA ... bigg.reaction:R_FBA_h ... bigg.reaction:R_FBAg ... biggR:FBA ... biggR:FBA_h ... biggR:FBAg ... biggR:R_FBA ... biggR:R_FBA_h ... biggR:R_FBAg ... deprecated:MNXR99459 ... deprecated:MNXR99464	1 MNXM1106095@MNXD1 + 2 MNXM1@MNXD1 = 1 MNXM739945@MNXD1 + 1 MNXM77@MNXD1
FBP	MNXR147046	rheaR:11064	bigg.reaction:FBP ... bigg.reaction:FBP_h ... bigg.reaction:FBPg ... bigg.reaction:R_FBP ... bigg.reaction:R_FBP_h ... bigg.reaction:R_FBPg ... biggR:FBP ... biggR:FBP_h ... biggR:FBPg ... biggR:R_FBP ... biggR:R_FBP_h ... biggR:R_FBPg ... deprecated:MNXR106670 ... deprecated:MNXR153098 ... deprecated:MNXR180343 ... deprecated:MNXR189931 ... deprecated:MNXR189932 ... deprecated:MNXR99465 ... kegg.reaction:R00762 ... kegg.reaction:R04780 ... keggR:R00762 ... keggR:R04780 ... metacyc.reaction:F16BDEPHOS-RXN ... metacycR:F16BDEPHOS-RXN ... rhea:11064 ... rhea:11065 ... rhea:11066 ... rhea:11067 ... rheaR:11064 ... rheaR:11065 ... rheaR:11066 ... rheaR:11067 ... sabiork.reaction:2084 ... sabiorkR:2084 ... seed.reaction:rxn00549 ... seed.reaction:rxn15494 ... seed.reaction:rxn19684 ... seed.reaction:rxn19685 ... seed.reaction:rxn30665 ... seed.reaction:rxn31218 ... seed.reaction:rxn33589 ... seed.reaction:rxn33591 ... seedR:rxn00549 ... seedR:rxn15494 ... seedR:rxn19684 ... seedR:rxn19685 ... seedR:rxn30665 ... seedR:rxn31218 ... seedR:rxn33589 ... seedR:rxn33591	1 MNXM1106095@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1107898@MNXD1 + 1 MNXM9@MNXD1
FORt2	MNXR99621	seedR:rxn05559	bigg.reaction:FORt2 ... bigg.reaction:FORt2pp ... bigg.reaction:FORthi ... bigg.reaction:FORtmi ... bigg.reaction:FORtxi ... bigg.reaction:R_FORt2 ... bigg.reaction:R_FORt2pp ... bigg.reaction:R_FORthi ... bigg.reaction:R_FORtmi ... bigg.reaction:R_FORtxi ... biggR:FORt2 ... biggR:FORt2pp ... biggR:FORthi ... biggR:FORtmi ... biggR:FORtxi ... biggR:R_FORt2 ... biggR:R_FORt2pp ... biggR:R_FORthi ... biggR:R_FORtmi ... biggR:R_FORtxi ... deprecated:MNXR2278 ... seed.reaction:rxn05559 ... seed.reaction:rxn08524 ... seed.reaction:rxn34214 ... seed.reaction:rxn34215 ... seed.reaction:rxn34216 ... seed.reaction:rxn34459 ... seedR:rxn05559 ... seedR:rxn08524 ... seedR:rxn34214 ... seedR:rxn34215 ... seedR:rxn34216 ... seedR:rxn34459	1 MNXM01@MNXD1 + 1 MNXM39@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM39@MNXD2
FORti				
FRD7	MNXR99641	rheaR:29187	bigg.reaction:FRD7 ... bigg.reaction:R_FRD7 ... bigg.reaction:R_SUCDH_q8_m ... bigg.reaction:R_SUCDi ... bigg.reaction:SUCDH_q8_m ... bigg.reaction:SUCDi ... biggR:FRD7 ... biggR:R_FRD7 ... biggR:R_SUCDH_q8_m ... biggR:R_SUCDi ... biggR:SUCDH_q8_m ... biggR:SUCDi ... deprecated:MNXR69008 ... rhea:29187 ... rhea:29188 ... rhea:29189 ... rhea:29190 ... rheaR:29187 ... rheaR:29188 ... rheaR:29189 ... rheaR:29190 ... seed.reaction:rxn09272 ... seed.reaction:rxn27238 ... seed.reaction:rxn37566 ... seed.reaction:rxn37641 ... seed.reaction:rxn37642 ... seed.reaction:rxn37644 ... seed.reaction:rxn38714 ... seed.reaction:rxn38716 ... seed.reaction:rxn38993 ... seedR:rxn09272 ... seedR:rxn27238 ... seedR:rxn37566 ... seedR:rxn37641 ... seedR:rxn37642 ... seedR:rxn37644 ... seedR:rxn38714 ... seedR:rxn38716 ... seedR:rxn38993	1 MNXM191@MNXD1 + 1 MNXM737340@MNXD1 = 1 MNXM232@MNXD1 + 1 MNXM25@MNXD1
FRUpts2	MNXR182405	seedR:rxn37578	bigg.reaction:FRUpts2 ... bigg.reaction:FRUpts2pp ... bigg.reaction:R_FRUpts2 ... bigg.reaction:R_FRUpts2pp ... biggR:FRUpts2 ... biggR:FRUpts2pp ... biggR:R_FRUpts2 ... biggR:R_FRUpts2pp ... deprecated:MNXR99662 ... seed.reaction:rxn37578 ... seedR:rxn37578	1 MNXM1105810@MNXD1 + 1 MNXM73@MNXD2 = 1 MNXM1107898@MNXD2 + 1 MNXM23@MNXD2
FUM	MNXR99705	rheaR:12460	bigg.reaction:FUM ... bigg.reaction:FUMg ... bigg.reaction:FUMm ... bigg.reaction:R_FUM ... bigg.reaction:R_FUMg ... bigg.reaction:R_FUMm ... biggR:FUM ... biggR:FUMg ... biggR:FUMm ... biggR:R_FUM ... biggR:R_FUMg ... biggR:R_FUMm ... deprecated:MNXR2338 ... kegg.reaction:R01082 ... keggR:R01082 ... metacyc.reaction:FUMHYDR-RXN ... metacycR:FUMHYDR-RXN ... rhea:12460 ... rhea:12461 ... rhea:12462 ... rhea:12463 ... rheaR:12460 ... rheaR:12461 ... rheaR:12462 ... rheaR:12463 ... sabiork.reaction:256 ... sabiorkR:256 ... seed.reaction:rxn00799 ... seed.reaction:rxn19740 ... seed.reaction:rxn33856 ... seed.reaction:rxn33857 ... seed.reaction:rxn33858 ... seedR:rxn00799 ... seedR:rxn19740 ... seedR:rxn33856 ... seedR:rxn33857 ... seedR:rxn33858	1 MNXM1107192@MNXD1 = 1 MNXM737340@MNXD1 + 1 WATER@MNXD1
FUMt2_2	MNXR153630	rheaR:29331	bigg.reaction:FUMt2_2 ... bigg.reaction:FUMt2_2pp ... bigg.reaction:R_FUMt2_2 ... bigg.reaction:R_FUMt2_2pp ... biggR:FUMt2_2 ... biggR:FUMt2_2pp ... biggR:R_FUMt2_2 ... biggR:R_FUMt2_2pp ... deprecated:MNXR99711 ... deprecated:MNXR99715 ... metacyc.reaction:TRANS-RXN0-553 ... metacycR:TRANS-RXN0-553 ... rhea:29331 ... rhea:29332 ... rhea:29333 ... rhea:29334 ... rheaR:29331 ... rheaR:29332 ... rheaR:29333 ... rheaR:29334 ... seed.reaction:rxn08542 ... seed.reaction:rxn10152 ... seedR:rxn08542 ... seedR:rxn10152	2 MNXM01@MNXD1 + 1 MNXM737340@MNXD1 = 2 MNXM01@MNXD2 + 1 MNXM737340@MNXD2
